city,Lat,lon
Maple Ridge,49.2193,-122.5984
Milton,43.522387,-79.8862511
Montreal,45.5017,-73.5673
Mississauga,43.589,-79.6441
Mount Pearl,47.5206,-52.8077
New Minas,45.07234,-64.44575
North York,43.7615,-79.4111
Novi,45.2671,19.8335
Oakville,43.45011,-79.68282
Perth,-31.853512,115.857048
Port Coquitlam,49.283764,-122.793205
Port Hope,43.95,-78.3
Portugal Cove,47.62,-52.85
Priceville,44.210019,-80.626602
Québec,46.829853,-71.254028
Saint John,45.273918,-66.067657
Sarnia,42.97866,-82.40407
Scarborough,43.77223,-79.25666
Surrey,49.104431,-122.801094
Thamesford,43.057865,-80.999664
Toronto,43.653908,-79.384293
Tucson,32.25346,-110.911789
Vancouver,49.2827,-123.115669
Victoria,48.4284,-123.3656
Windsor,42.3149,-83.0364
Wyoming,43.076,-107.2903
Kinuso,55.3314,-115.4331
Boardman,45.8399,-119.7006
Langley,49.1042,-122.6604
Coquitlam,49.283764,-122.793205
Flesherton,44.2619,-80.5504
Cambridge,52.2053,-0.1218
Charlotte,35.2271,-80.8431
London,51.5074,-0.1278
Edmonton,53.5444,-113.4909
Dallas,32.7767,96.797
Hamilton,43.2557,-79.8711
Burlington,43.3255,-79.799
Barrie,44.3894,-79.6903
Gander,48.9544,-54.6103
Ajax,43.8509,-79.0204
Kelowna,49.888,-119.496
Allen,33.1032,-96.6706
Dublin,53.3498,-6.2603
Commerce,39.813019,-104.93351
